Periodo,Problema,Título,Data,Link
27/09/2021,termina,Assalto em supermercado termina com cliente baleado em Macapá; criminosos fugiram a pé,06/10/2021 12:10,https://g1.globo.com/ap/amapa/noticia/2021/10/06/assalto-em-supermercado-termina-com-cliente-baleado-em-macapa-criminosos-fugiram-a-pe.ghtml
27/09/2021,preço,Preço do mesmo produto varia até 300% de um supermercado para outro em Vitória,08/10/2021 08:00,https://g1.globo.com/es/espirito-santo/noticia/2021/10/07/preco-do-mesmo-produto-pode-variar-ate-300percent-de-um-supermercado-para-outro-em-vitoria.ghtml
27/09/2021,produto,Procon apreende mais de 70 Kg de produtos em supermercado na Zona Leste de Manaus,13/10/2021 18:03,https://g1.globo.com/am/amazonas/noticia/2021/10/13/procon-apreende-mais-de-70-kg-de-produtos-em-supermercado-na-zona-leste-de-manaus.ghtml
27/09/2021,acaba,PM reage a assalto em supermercado e dois suspeitos acabam mortos em Cruzeiro do Sul,11/12/2021 15:16,https://g1.globo.com/ac/acre/noticia/2021/12/11/pm-reage-a-assalto-em-supermercado-e-adolescente-de-17-anos-acaba-morto-em-cruzeiro-do-sul.ghtml
27/09/2021,medo,"Vídeo mostra clientes saindo de supermercado que pegou fogo em Florianópolis: 'Medo que ia explodir', diz moradora",23/12/2021 19:36,https://g1.globo.com/sc/santa-catarina/noticia/2021/12/23/video-mostra-clientes-deixando-supermercado-apos-inicio-de-incendio-em-sc-medo-que-ia-explodir-diz-moradora.ghtml
27/09/2021,busca,"Pessoas cercam lixo de supermercado em busca de comida em BH; 'vergonha é roubar', diz uma delas",08/10/2021 22:16,https://g1.globo.com/mg/minas-gerais/noticia/2021/10/08/pessoas-cercam-lixo-de-supermercado-em-busca-de-comida-em-bh-vergonha-e-roubar-pedir-e-esperar-nao-e-vergonha.ghtml
27/09/2021,comida,"Desempregado pede comida a cliente de supermercado, história viraliza na web e homem consegue trabalho no RN",17/11/2021 09:00,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2021/11/17/desempregado-pede-comida-para-cliente-de-supermercado-historia-viraliza-na-web-e-homem-consegue-trabalho-no-rn.ghtml
27/09/2021,comida,"'Não havia crime', diz juiz que absolveu acusados por furto de comida vencida descartada por supermercado no RS",28/10/2021 19:30,https://g1.globo.com/rs/rio-grande-do-sul/noticia/2021/10/28/nao-havia-crime-diz-juiz-que-absolveu-acusados-por-furto-de-comida-vencida-descartada-por-supermercado-no-rs.ghtml
27/09/2021,fila,Mulher é agredida a socos e chutes na fila de caixa de supermercado na Serra do RS; VÍDEO,29/11/2021 19:50,https://g1.globo.com/rs/rio-grande-do-sul/noticia/2021/11/29/mulher-e-agredida-a-socos-e-chutes-na-fila-de-caixa-de-supermercado-na-serra-do-rs-video.ghtml
27/09/2021,produto,Supermercados devem destacar data de validade de produtos em promoção,09/12/2021 10:05,https://g1.globo.com/pr/parana/especial-publicitario/assembleia-legislativa-do-parana/momento-assembleia-parana/noticia/2021/12/09/supermercados-devem-destacar-data-de-validade-de-produtos-em-promocao.ghtml
27/09/2021,dispara,Preço dos produtos da ceia de Natal dispara nos supermercados de Palmas,25/11/2021 18:44,https://g1.globo.com/to/tocantins/noticia/2021/11/25/preco-dos-produtos-da-ceia-de-natal-dispara-nos-supermercados-de-palmas.ghtml
27/09/2021,alimento,Cadastro da PBH monta banco de alimentos que seriam descartados por supermercados,07/10/2021 06:54,https://g1.globo.com/mg/minas-gerais/noticia/2021/10/07/cadastro-da-pbh-monta-banco-de-alimentos-que-seriam-descartados-por-supermercados.ghtml
27/09/2021,covid-19,Vacinação contra Covid-19 e gripe segue sendo realizada em supermercados de Palmas,25/11/2021 08:13,https://g1.globo.com/to/tocantins/noticia/2021/11/25/vacinacao-contra-covid-19-e-gripe-segue-sendo-realizada-em-supermercados-de-palmas.ghtml
27/09/2021,preço,"Preço do café sobe e chega a R$ 7,49 nos supermercados de Palmas",18/10/2021 09:31,https://g1.globo.com/to/tocantins/noticia/2021/10/18/preco-do-cafe-sobe-e-chega-a-r-749-nos-supermercados-de-palmas.ghtml
27/09/2021,preço,Aplicativo ajuda consumidores a encontrarem ofertas e preços mais baixos em supermercados do Ceará,05/10/2021 23:17,https://g1.globo.com/ce/ceara/noticia/2021/10/05/aplicativo-ajuda-consumidores-a-encontrarem-ofertas-e-precos-mais-baixos-em-supermercados-do-ceara.ghtml
27/09/2021,preço,"Preço de produtos nos supermercados de Fortaleza pode chegar a R$ 710, diz Procon",26/10/2021 21:49,https://g1.globo.com/ce/ceara/noticia/2021/10/26/preco-de-cesta-basica-nos-supermercados-de-fortaleza-pode-chegar-a-r-710-diz-procon.ghtml
27/09/2021,preço,Preços de produtos para ceia de Natal variam até 207% em supermercados de Campinas,21/12/2021 17:30,https://g1.globo.com/sp/campinas-regiao/noticia/2021/12/21/precos-de-produtos-para-ceia-de-natal-variam-ate-207percent-em-supermercados-de-campinas.ghtml
27/09/2021,produto,Produtos da ceia de Natal são vendidos com variação de até 184% nos supermercados de Palmas,15/12/2021 15:36,https://g1.globo.com/to/tocantins/noticia/2021/12/15/produtos-da-ceia-de-natal-sao-vendidos-com-variacao-de-ate-184percent-nos-supermercados-de-palmas.ghtml
27/09/2021,compra,Alteração na lei que proíbe supermercados de conferir compras de clientes após o pagamento é aprovada em Uberlândia,16/11/2021 11:45,https://g1.globo.com/mg/triangulo-mineiro/noticia/2021/11/12/alteracao-na-lei-que-proibe-supermercados-de-conferir-compras-de-clientes-apos-o-pagamento-e-aprovada-em-uberlandia.ghtml
